outlet_id,outlet_name,category,brand,location_id,area_name,latitude,longitude,target_demographic,avg_transaction_value,outlet_size,parking_available,area_type,location_tier,monthly_footfall,conversion_rate,customer_satisfaction,luxury_index,commercial_viability,competition_score
OUT000,Lifestyle Premium - Bandra West,Premium_Lifestyle,Lifestyle Premium,LOC003,Bandra West,19.0596,72.8295,High Income,16331.450242363922,Large,True,High Income,1,747,0.860256749383431,4.102624945420841,67.73850012284433,93.00000000000001,100
OUT001,Louis Vuitton - Bandra West,Luxury_Fashion,Louis Vuitton,LOC003,Bandra West,19.0596,72.8295,High Income,152035.66307656746,Medium,True,High Income,1,817,0.7342159448913506,3.8232437748892947,81.20664221601496,93.00000000000001,90
OUT002,Volkswagen - Andheri West,Mid_Range_Automotive,Volkswagen,LOC004,Andheri West,19.1136,72.8697,Middle Income,2322895.6332262023,Medium,True,Middle Income,2,3083,0.3168445371919753,2.601030695759454,48.61859316548396,89.5,80
OUT003,Tata - Andheri West,Budget_Automotive,Tata,LOC004,Andheri West,19.1136,72.8697,Middle Income,538331.4281238376,Medium,True,Middle Income,2,3524,0.4473314041449967,2.884875923016211,25.231085670438105,89.5,70
OUT004,Sony - Nerul,Premium_Electronics,Sony,LOC016,Nerul,19.0362,73.0184,High Income,99415.76035518043,Medium,False,Middle Income,2,629,0.41619589129910955,3.533196205548685,51.73696926847174,80.5,60
OUT005,Maruti Suzuki - Goregaon,Budget_Automotive,Maruti Suzuki,LOC012,Goregaon,19.1663,72.8526,Middle Income,596245.4303592796,Medium,True,Middle Income,2,2344,0.38299724391751816,2.7811701582947603,19.122714338860156,80.5,50
OUT006,Lifestyle Premium - Bandra West,Premium_Lifestyle,Lifestyle Premium,LOC003,Bandra West,19.0596,72.8295,High Income,22382.372060522935,Large,True,High Income,1,742,0.8206890008518533,4.374790891906151,66.94001063746416,93.00000000000001,50
OUT007,Gucci - Fort,Luxury_Fashion,Gucci,LOC002,Fort,18.9345,72.8352,High Income,86719.98095025889,Medium,True,High Income,1,785,0.5813882295959764,3.86717209243853,80.45230621683218,95.0,30
OUT008,Lifestyle Premium - Dadar,Premium_Lifestyle,Lifestyle Premium,LOC007,Dadar,19.0178,72.8478,High Income,49096.91790854991,Large,True,Middle Income,2,934,0.7434754530129053,3.8464466958946186,56.947680071795716,89.00000000000001,20
OUT009,Apple - Juhu,Premium_Electronics,Apple,LOC005,Juhu,19.1075,72.8263,High Income,88140.88099031235,Medium,False,High Income,1,828,0.6051848290717631,3.559177904796026,54.835252522588654,84.5,10
OUT010,Mercedes-Benz - Nariman Point,Luxury_Automotive,Mercedes-Benz,LOC001,Nariman Point,18.9256,72.8242,High Income,13799295.636383737,Large,True,High Income,1,850,0.7549571348039129,4.432513150108317,86.77066024441703,98.50000000000001,0
OUT011,Porsche - Bandra West,Luxury_Automotive,Porsche,LOC003,Bandra West,19.0596,72.8295,High Income,8520165.825018782,Large,True,High Income,1,837,0.7308121966817995,4.425611576063877,83.8489005329696,93.00000000000001,0
OUT012,Hermes - Worli,Luxury_Fashion,Hermes,LOC006,Worli,19.0178,72.8478,High Income,167300.2738390912,Medium,True,High Income,1,832,0.7379014326943124,4.1967804640191435,74.68502851026982,91.5,0
OUT013,Hyundai - Colaba,Mid_Range_Automotive,Hyundai,LOC000,Colaba,18.9067,72.8147,Middle Income,1910657.4996172043,Medium,True,High Income,1,2250,0.44693456271236165,2.7993541057098734,50.77536735120779,94.5,0
OUT014,Shoppers Stop Premium - Colaba,Premium_Lifestyle,Shoppers Stop Premium,LOC000,Colaba,18.9067,72.8147,High Income,36960.294258508446,Large,True,High Income,1,954,0.6733167586519161,3.482198650551537,69.12270984948253,94.5,0
OUT015,Tata - Nerul,Budget_Automotive,Tata,LOC016,Nerul,19.0362,73.0184,Middle Income,599147.6722057277,Medium,True,Middle Income,2,1949,0.3582438346625439,3.3335414676503423,20.50183564358376,80.5,0
OUT016,Hyundai - Malad,Mid_Range_Automotive,Hyundai,LOC013,Malad,19.1873,72.8484,Middle Income,1706954.9502567577,Medium,True,Middle Income,2,1592,0.3989632155128902,2.7283818560344417,32.393347969307754,77.0,0
OUT017,Regional Chains - Kandivali,General_Retail,Regional Chains,LOC014,Kandivali,19.2037,72.8511,Middle Income,9479.42125326994,Medium,False,Lower Middle Income,3,2165,0.32269038509057646,2.3426475170769026,24.196241355655236,73.5,0
OUT018,Kia - Ghatkopar,Mid_Range_Automotive,Kia,LOC010,Ghatkopar,19.0858,72.9089,Middle Income,2304969.456812315,Medium,True,Middle Income,2,2144,0.6207671233524179,3.657871738252075,39.28347829477758,85.5,0
OUT019,Nissan - Kandivali,Budget_Automotive,Nissan,LOC014,Kandivali,19.2037,72.8511,Middle Income,405942.4490030015,Medium,True,Lower Middle Income,3,1557,0.16222144686479129,1.8806360982066521,14.065058743882194,73.5,0
OUT020,Tiffany - Fort,Designer_Jewelry,Tiffany,LOC002,Fort,18.9345,72.8352,High Income,425998.9812967716,Small,True,High Income,1,3552,0.3839584652967333,3.414797931087269,27.164662035835555,95.0,0
OUT021,Samsung Premium - Nariman Point,Premium_Electronics,Samsung Premium,LOC001,Nariman Point,18.9256,72.8242,High Income,55204.58387561314,Medium,False,High Income,1,1161,0.9472414513110444,4.312502252506803,61.731758849046784,98.50000000000001,0
OUT022,Samsung Premium - Dadar,Premium_Electronics,Samsung Premium,LOC007,Dadar,19.0178,72.8478,High Income,126299.2936289694,Medium,False,Middle Income,2,934,0.7003188644840478,3.9548303922486285,65.78209378407726,89.00000000000001,0
OUT023,Toyota - Dadar,Mid_Range_Automotive,Toyota,LOC007,Dadar,19.0178,72.8478,Middle Income,2326725.2219129857,Medium,True,Middle Income,2,2980,0.3169362950805413,3.449652824023179,37.03623824678689,89.00000000000001,0
OUT024,Renault - Vashi,Budget_Automotive,Renault,LOC015,Vashi,19.0745,72.9978,Middle Income,793980.1265446576,Medium,True,Middle Income,2,2309,0.3174151663253817,2.906582155865052,33.65304331384194,84.00000000000001,0
OUT025,Samsung Premium - Goregaon,Premium_Electronics,Samsung Premium,LOC012,Goregaon,19.1663,72.8526,High Income,56353.572242391856,Medium,False,Middle Income,2,842,0.6183822915325742,3.3417921213248123,48.28437114823868,80.5,0
OUT026,Apple - Nariman Point,Premium_Electronics,Apple,LOC001,Nariman Point,18.9256,72.8242,High Income,120868.08385119052,Medium,False,High Income,1,907,0.9011703532357866,4.189339681172765,68.67499546474467,98.50000000000001,0
OUT027,Hyundai - Ghatkopar,Mid_Range_Automotive,Hyundai,LOC010,Ghatkopar,19.0858,72.9089,Middle Income,2424015.9223963255,Medium,True,Middle Income,2,2373,0.43049450773482134,3.1135582515266726,35.93390255126959,85.5,0
OUT028,Prada - Juhu,Luxury_Fashion,Prada,LOC005,Juhu,19.1075,72.8263,High Income,52925.39714157803,Medium,True,High Income,1,755,0.49325251963534905,3.7694614720660145,72.60274880539656,84.5,0
OUT029,Local Brands - Kandivali,General_Retail,Local Brands,LOC014,Kandivali,19.2037,72.8511,Middle Income,7574.63188623694,Medium,False,Lower Middle Income,3,1500,0.28819350466199306,1.7960020641464562,19.7999005420018,73.5,0
OUT030,Lifestyle Premium - Nariman Point,Premium_Lifestyle,Lifestyle Premium,LOC001,Nariman Point,18.9256,72.8242,High Income,14810.039462829385,Large,True,High Income,1,843,0.47407231634829167,4.60754831690639,75.11974466881261,98.50000000000001,0
OUT031,Gucci - Nariman Point,Luxury_Fashion,Gucci,LOC001,Nariman Point,18.9256,72.8242,High Income,95812.0247814127,Medium,True,High Income,1,879,0.8223399360546472,3.7816798843452135,92.59250569533786,98.50000000000001,0
OUT032,Samsung Premium - Andheri West,Premium_Electronics,Samsung Premium,LOC004,Andheri West,19.1136,72.8697,High Income,147865.4081337965,Medium,False,Middle Income,2,902,0.7485057932043577,3.6541702356681864,60.75368951352886,89.5,0
OUT033,Local Brands - Parel,General_Retail,Local Brands,LOC008,Parel,18.9977,72.8376,Middle Income,5726.267665926667,Medium,False,Middle Income,2,1920,0.52141235739782,3.2432056483918004,20.37340581938283,85.5,0
OUT034,Cartier - Fort,Designer_Jewelry,Cartier,LOC002,Fort,18.9345,72.8352,High Income,322126.531632627,Small,True,High Income,1,3236,0.7483036431272334,3.273735432102554,29.77842922050965,95.0,0
OUT035,Regional Chains - Parel,General_Retail,Regional Chains,LOC008,Parel,18.9977,72.8376,Middle Income,8227.054274131011,Medium,False,Middle Income,2,1851,0.2585680493824245,3.0478043668624437,20.732810560193226,85.5,0
OUT036,Hyundai - Goregaon,Mid_Range_Automotive,Hyundai,LOC012,Goregaon,19.1663,72.8526,Middle Income,2516807.3460684065,Medium,True,Middle Income,2,2648,0.28004888407150047,2.789069941545439,38.38876725900371,80.5,0
OUT037,Tiffany - Colaba,Designer_Jewelry,Tiffany,LOC000,Colaba,18.9067,72.8147,High Income,312887.71866611944,Small,True,High Income,1,3949,0.2898775849840844,4.0895398085764,30.54801328557475,94.5,0
OUT038,Lifestyle Premium - Worli,Premium_Lifestyle,Lifestyle Premium,LOC006,Worli,19.0178,72.8478,High Income,10718.314550006038,Large,True,High Income,1,878,0.7269168737629227,3.9905842920803902,63.78281283749915,91.5,0
OUT039,Samsung Premium - Chembur,Premium_Electronics,Samsung Premium,LOC009,Chembur,19.0522,72.9005,High Income,70777.06294397284,Medium,False,Middle Income,2,819,0.6479744577329168,3.426484029970379,48.764451359602305,82.0,0
OUT040,Shoppers Stop Premium - Parel,Premium_Lifestyle,Shoppers Stop Premium,LOC008,Parel,18.9977,72.8376,High Income,26737.979887018322,Large,True,Middle Income,2,279,0.692817969352697,3.511363495162035,58.95763795446585,85.5,0
OUT041,Tiffany - Nariman Point,Designer_Jewelry,Tiffany,LOC001,Nariman Point,18.9256,72.8242,High Income,284317.547863312,Small,True,High Income,1,2727,0.5542940921613042,4.2142730150013685,23.984148411768995,98.50000000000001,0
OUT042,Tiffany - Colaba,Designer_Jewelry,Tiffany,LOC000,Colaba,18.9067,72.8147,High Income,288795.8511374485,Small,True,High Income,1,2646,0.5662615183082198,4.301553439872474,25.47173519916099,94.5,0
OUT043,Apple - Andheri West,Premium_Electronics,Apple,LOC004,Andheri West,19.1136,72.8697,High Income,67979.78134950754,Medium,False,Middle Income,2,682,0.7219453288384309,3.8160383872517993,57.32899451982749,89.5,0
OUT044,Sony - Vashi,Premium_Electronics,Sony,LOC015,Vashi,19.0745,72.9978,High Income,133413.8660523585,Medium,False,Middle Income,2,1023,0.559740299747019,3.4176127611348965,52.66222376217477,84.00000000000001,0
OUT045,Lexus - Colaba,Luxury_Automotive,Lexus,LOC000,Colaba,18.9067,72.8147,High Income,12636104.796141585,Large,True,High Income,1,1113,0.8336766143154809,4.102619072443919,77.80285325678997,94.5,0
OUT046,Renault - Nerul,Budget_Automotive,Renault,LOC016,Nerul,19.0362,73.0184,Middle Income,587527.5832060965,Medium,True,Middle Income,2,1799,0.31523531994127985,2.547874287067901,19.254006077509388,80.5,0
OUT047,Shoppers Stop Premium - Andheri West,Premium_Lifestyle,Shoppers Stop Premium,LOC004,Andheri West,19.1136,72.8697,High Income,49021.09316083607,Large,True,Middle Income,2,873,0.8271957505885037,4.059098024513396,62.42003504595351,89.5,0
OUT048,Tiffany - Colaba,Designer_Jewelry,Tiffany,LOC000,Colaba,18.9067,72.8147,High Income,420366.32811053615,Small,True,High Income,1,2542,0.5571498614304784,3.7816594624329083,28.986478716091842,94.5,0
OUT049,Hermes - Bandra West,Luxury_Fashion,Hermes,LOC003,Bandra West,19.0596,72.8295,High Income,106993.99283896288,Medium,True,High Income,1,945,0.7592909076197136,4.150854094521178,87.54945517761897,93.00000000000001,0
